Date-Time,Region,Facility,Entrance,Entries,Exits
12/11/19 3:00 PM,UC Berkeley,EAL Library,EAL,80,72
12/11/19 3:00 PM,UC Berkeley,EART Library,Earth North,26,17
12/11/19 3:00 PM,UC Berkeley,EART Library,Earth South,17,22
12/11/19 3:00 PM,UC Berkeley,ENGI Library,ENGI,244,240
12/11/19 3:00 PM,UC Berkeley,ENVI Library,ENVI,113,118
12/11/19 3:00 PM,UC Berkeley,GRDS Library,GRAD,25,30
12/11/19 3:00 PM,UC Berkeley,HAAS Library,HAAS 2F,115,120
12/11/19 3:00 PM,UC Berkeley,HAAS Library,HAAS 3F,43,54
12/11/19 3:00 PM,UC Berkeley,MATH Library,MATH,60,68
12/11/19 3:00 PM,UC Berkeley,MOFF Library,Moffit Entry,405,9
12/11/19 3:00 PM,UC Berkeley,MOFF Library,Moffit Exit,0,290
12/11/19 3:00 PM,UC Berkeley,MOFF Library,Moffitt 4th,240,221
12/11/19 3:00 PM,UC Berkeley,MORR Library,Morrison,37,31
12/11/19 3:00 PM,UC Berkeley,MUSI,MUSI,68,72
12/11/19 3:00 PM,UC Berkeley,NEWS Library,News,7,12
12/11/19 3:00 PM,UC Berkeley,OPTO Library,OPTO,15,23
12/11/19 3:00 PM,UC Berkeley,PHYS Library,PHYS,16,14
12/11/19 3:00 PM,UC Berkeley,SEAL Library,SEAL,12,11
12/11/19 3:00 PM,UC Berkeley,SOCR Library,SOCR,26,22
12/11/19 4:00 PM,,,TEST,0,0
12/11/19 4:00 PM,UC Berkeley,AHC Library,AHC Back,6,8
12/11/19 4:00 PM,UC Berkeley,AHC Library,AHC Front,9,14
12/11/19 4:00 PM,UC Berkeley,ANTH Library,ANTH,60,59
12/11/19 4:00 PM,UC Berkeley,BANC Library,Bancroft,63,59
12/11/19 4:00 PM,UC Berkeley,BIOS Library,VLSB1,50,106
12/11/19 4:00 PM,UC Berkeley,BIOS Library,VLSB2,82,64
12/11/19 4:00 PM,UC Berkeley,CHEM Library,CHEM,39,49
12/11/19 4:00 PM,UC Berkeley,DOE Library,Doe North,159,226
12/11/19 4:00 PM,UC Berkeley,DOE Library,Doe South,111,186
12/11/19 4:00 PM,UC Berkeley,DOE STACKS,Moffit Corridor,124,144
12/11/19 4:00 PM,UC Berkeley,DOE STACKS,Stacks East,75,91
12/11/19 4:00 PM,UC Berkeley,EAL Library,EAL,70,68
12/11/19 4:00 PM,UC Berkeley,EART Library,Earth North,13,16
12/11/19 4:00 PM,UC Berkeley,EART Library,Earth South,14,14
12/11/19 4:00 PM,UC Berkeley,ENGI Library,ENGI,181,189
12/11/19 4:00 PM,UC Berkeley,ENVI Library,ENVI,120,128
12/11/19 4:00 PM,UC Berkeley,GRDS Library,GRAD,23,30
12/11/19 4:00 PM,UC Berkeley,HAAS Library,HAAS 2F,137,121
12/11/19 4:00 PM,UC Berkeley,HAAS Library,HAAS 3F,49,80
12/11/19 4:00 PM,UC Berkeley,MATH Library,MATH,45,49
12/11/19 4:00 PM,UC Berkeley,MOFF Library,Moffit Entry,262,7
12/11/19 4:00 PM,UC Berkeley,MOFF Library,Moffit Exit,0,243
12/11/19 4:00 PM,UC Berkeley,MOFF Library,Moffitt 4th,201,227
12/11/19 4:00 PM,UC Berkeley,MORR Library,Morrison,26,22
12/11/19 4:00 PM,UC Berkeley,MUSI,MUSI,39,68
12/11/19 4:00 PM,UC Berkeley,NEWS Library,News,8,12
12/11/19 4:00 PM,UC Berkeley,OPTO Library,OPTO,20,12
12/11/19 4:00 PM,UC Berkeley,PHYS Library,PHYS,21,26
12/11/19 4:00 PM,UC Berkeley,SEAL Library,SEAL,4,13
12/11/19 4:00 PM,UC Berkeley,SOCR Library,SOCR,12,20
12/11/19 5:00 PM,,,TEST,0,0
12/11/19 5:00 PM,UC Berkeley,AHC Library,AHC Back,0,4
12/11/19 5:00 PM,UC Berkeley,AHC Library,AHC Front,5,5
12/11/19 5:00 PM,UC Berkeley,ANTH Library,ANTH,42,70
12/11/19 5:00 PM,UC Berkeley,BANC Library,Bancroft,26,13
12/11/19 5:00 PM,UC Berkeley,BIOS Library,VLSB1,40,108
12/11/19 5:00 PM,UC Berkeley,BIOS Library,VLSB2,51,45
12/11/19 5:00 PM,UC Berkeley,CHEM Library,CHEM,25,43
12/11/19 5:00 PM,UC Berkeley,DOE Library,Doe North,118,235
12/11/19 5:00 PM,UC Berkeley,DOE Library,Doe South,72,171
12/11/19 5:00 PM,UC Berkeley,DOE STACKS,Moffit Corridor,163,125
12/11/19 5:00 PM,UC Berkeley,DOE STACKS,Stacks East,64,93
12/11/19 5:00 PM,UC Berkeley,EAL Library,EAL,38,65
12/11/19 5:00 PM,UC Berkeley,EART Library,Earth North,11,18
12/11/19 5:00 PM,UC Berkeley,EART Library,Earth South,6,13
12/11/19 5:00 PM,UC Berkeley,ENGI Library,ENGI,147,210
12/11/19 5:00 PM,UC Berkeley,ENVI Library,ENVI,91,96
12/11/19 5:00 PM,UC Berkeley,GRDS Library,GRAD,25,29
12/11/19 5:00 PM,UC Berkeley,HAAS Library,HAAS 2F,110,120
12/11/19 5:00 PM,UC Berkeley,HAAS Library,HAAS 3F,41,73
12/11/19 5:00 PM,UC Berkeley,MATH Library,MATH,35,45
12/11/19 5:00 PM,UC Berkeley,MOFF Library,Moffit Entry,211,2
12/11/19 5:00 PM,UC Berkeley,MOFF Library,Moffit Exit,0,300
12/11/19 5:00 PM,UC Berkeley,MOFF Library,Moffitt 4th,136,209
12/11/19 5:00 PM,UC Berkeley,MORR Library,Morrison,15,36
12/11/19 5:00 PM,UC Berkeley,MUSI,MUSI,31,68
12/11/19 5:00 PM,UC Berkeley,NEWS Library,News,13,7
12/11/19 5:00 PM,UC Berkeley,OPTO Library,OPTO,10,17
12/11/19 5:00 PM,UC Berkeley,PHYS Library,PHYS,15,22
12/11/19 5:00 PM,UC Berkeley,SEAL Library,SEAL,3,9
12/11/19 5:00 PM,UC Berkeley,SOCR Library,SOCR,12,15
12/11/19 6:00 PM,,,TEST,0,0
12/11/19 6:00 PM,UC Berkeley,AHC Library,AHC Back,2,4
12/11/19 6:00 PM,UC Berkeley,AHC Library,AHC Front,3,6
12/11/19 6:00 PM,UC Berkeley,ANTH Library,ANTH,16,22
12/11/19 6:00 PM,UC Berkeley,BANC Library,Bancroft,0,4
12/11/19 6:00 PM,UC Berkeley,BIOS Library,VLSB1,45,87
